lang,title,days,years,perday1,perday2,factor
af,NAVO,1094,34445,109,16,7
an,OTAN,375,14395,38,7,6
ar,حلف_شمال_الأطلسي,618866,1091993,61887,498,124
as,নাটো,646,14883,65,7,10
av,Шималиябгун-атлантикияб_къотІиялъул_организация,126,11655,13,5,2
az,NATO,20581,155819,2058,71,29
ba,НАТО,103,13069,10,6,2
be,НАТА,275,24848,28,11,2
bg,НАТО,139788,430553,13979,196,71
bn,ন্যাটো,60150,185324,6015,85,71
br,Aozadur_Feur-emglev_Norzh-Atlantel,375,13758,38,6,6
bs,NATO,22185,59601,2218,27,82
ca,Organització_del_Tractat_de_l'Atlàntic_Nord,16457,58141,1646,27,62
cs,Severoatlantická_aliance,259424,929777,25942,424,61
cy,NATO,300,16421,30,7,4
da,NATO,101823,466132,10182,213,48
de,NATO,2094151,5922108,209415,2702,78
el,ΝΑΤΟ,261829,493284,26183,225,116
en,NATO,4616877,17517304,461688,7991,58
eo,NATO,455,19307,46,9,5
es,OTAN,1567772,4428428,156777,2020,78
et,NATO,10031,151118,1003,69,15
eu,Ipar_Atlantikoko_Itunaren_Erakundea,587,19335,59,9,7
fa,ناتو,496312,765792,49631,349,142
fi,Nato,316175,565809,31618,258,122
fo,NATO,662,16073,66,7,9
fr,Organisation_du_traité_de_l'Atlantique_nord,746296,2585829,74630,1180,63
fy,Noardatlantyske_Ferdrachsorganisaasje,201,12725,20,6,3
ga,Eagraíocht_Chonradh_an_Atlantaigh_Thuaidh,109,11521,11,5,2
gl,OTAN,1546,25697,155,12,13
gv,Reagheydys_Chonaant_yn_Atlantagh_Hwoaie,468,10913,47,5,9
he,נאט"ו,208159,259853,20816,119,176
hr,NATO,174465,319340,17446,146,120
hu,Észak-atlanti_Szerződés_Szervezete,312992,497421,31299,227,138
hy,ՆԱՏՕ,6847,132559,685,60,11
ia,OTAN,447,13992,45,6,7
id,Pakta_Pertahanan_Atlantik_Utara,221241,843887,22124,385,57
ie,NATO,554,13235,55,6,9
io,Nord-Atlantikal_Uniono,177,10563,18,5,4
is,Atlantshafsbandalagið,1411,28436,141,13,11
it,NATO,748030,351085,74803,160,467
ja,北大西洋条約機構,658185,1660789,65818,758,87
jv,NATO,338,15959,34,7,5
ka,ჩრდილოატლანტიკური_ხელშეკრულების_ორგანიზაცია,11772,210853,1177,96,12
kk,Солтүстік_Атлантикалық_Келісім_Ұйымы,7477,155065,748,71,11
km,អង្គការសន្ធិសញ្ញាអាត្លង់ទិកខាងជើង,2539,20109,254,9,28
kn,ನ್ಯಾಟೋ,4245,16364,424,7,57
ko,북대서양_조약_기구,14092,136145,1409,62,23
ku,NATO,424,14558,42,7,6
la,Consociatio_ex_pacto_Atlantico_Septentrionali,306,13672,31,6,5
lb,Organisatioun_vum_Nordatlantik-Traité,142,14084,14,6,2
li,Naord-Atlantische_Verdraagsorganisaasje,213,10650,21,5,4
lt,NATO,78156,331158,7816,151,52
lv,NATO,22710,155206,2271,71,32
mg,Fikambanan'ny_Fifanarahan'ny_Atlantika_Avaratra,89,9088,9,4,2
mk,НАТО,4938,94346,494,43,11
ml,നാറ്റോ,10883,18977,1088,9,126
mn,НАТО,8797,30734,880,14,63
mr,नाटो,16077,52827,1608,24,67
ms,Pertubuhan_Perjanjian_Atlantik_Utara,15604,41769,1560,19,82
my,နေတိုး_(စစ်မဟာမိတ်စာချုပ်အဖွဲ့),2823,19622,282,9,32
nl,Noord-Atlantische_Verdragsorganisatie,364594,817513,36459,373,98
nn,NATO,597,25280,60,12,5
no,NATO,101269,516532,10127,236,43
oc,Organizacion_del_Tractat_de_l'Atlantic_Nòrd,112,10692,11,5,2
os,НАТО,133,3700,13,2,8
pa,ਨਾਟੋ,417,11486,42,5,8
pl,NATO,993989,3317626,99399,1514,66
ps,ناټو,165,13768,16,6,3
pt,Organização_do_Tratado_do_Atlântico_Norte,562453,1382488,56245,631,89
ro,Organizația_Tratatului_Atlanticului_de_Nord,135562,464302,13556,212,64
ru,НАТО,1134138,5684234,113414,2593,44
se,NATO,289,12857,29,6,5
sh,NATO,10409,102056,1041,47,22
sk,Organizácia_Severoatlantickej_zmluvy,74012,197948,7401,90,82
sl,NATO,33543,104664,3354,48,70
so,Gaashaanbuurta_NATO,780,17076,78,8,10
sq,NATO,14562,113090,1456,52,28
sr,НАТО,55138,340827,5514,155,35
sv,Nato,400232,781162,40023,356,112
sw,NATO,2378,18537,238,8,28
ta,வட_அத்திலாந்திய_ஒப்பந்த_அமைப்பு,10719,26245,1072,12,90
tg,НАТО,441,11993,44,5,8
tr,NATO,187420,1467797,18742,670,28
tt,Төньяк_Атлантик_килешү_оешмасы,141,10847,14,5,3
ug,شىمالىي_ئاتلانتىك_ئەھدى_تەشكىلاتى,113,10796,11,5,2
uk,НАТО,122818,946261,12282,432,28
uz,NATO,19484,90751,1948,41,47
vi,NATO,256881,483315,25688,220,117
vo,NBNL,226,12380,23,6,4
yi,נאט"א,169,10575,17,5,4
yo,NATO,232,11358,23,5,4
zh,北大西洋公约组织,821271,1093949,82127,499,165
