,github.com/kajarnocom/nato,,,,Lässtatistik för Wikipedia-artikeln om NATO,,,,,,10.3.2022,
,,,,,,,,,,,,
Wikidata,Kod,Språk,Antal talare,Medlemsländer,Utanför,24.2.2022 +9,/day,2016-2021,/day,factor,/pers,/10 d
,fi,finska,5.413.380,,Finland,316.175,31.618,565.809,258,122,"10,5%","1280,3%"
,sv,svenska,9.244.250,,"Sverige, Finland",400.232,40.023,781.162,356,112,"8,5%","949,0%"
wd:Q809,pl,polska,39.794.740,Polen,,993.989,99.399,3.317.626,1.514,66,"8,3%","547,5%"
wd:Q6654,hr,kroatiska,7.000.000,Kroatien,,174.465,17.446,319.340,146,120,"4,6%","546,3%"
wd:Q9056,cs,tjeckiska,11.500.000,Tjeckien,,259.424,25.942,929.777,424,61,"8,1%","494,5%"
wd:Q9067,hu,ungerska,15.000.000,"Ungern, Rumänien",,312.992,31.299,497.421,227,138,"3,3%","457,4%"
wd:Q188,de,tyska,105.000.000,Tyskland,"Österrike, Schweiz",2.094.151,209.415,5.922.108,2.702,78,"5,6%","437,2%"
wd:Q9129,el,grekiska,13.156.880,Grekland,,261.829,26.183,493.284,225,116,"3,7%","436,2%"
wd:Q9083,lt,litauiska,4.000.000,Litauen,,78.156,7.816,331.158,151,52,"8,3%","428,3%"
wd:Q25167,no,bokmål,5.200.000,Norge,,101.269,10.127,516.532,236,43,"9,9%","426,9%"
wd:Q9035,da,danska,6.000.000,Danmark,,101.823,10.182,466.132,213,48,"7,8%","372,0%"
wd:Q7918,bg,bulgariska,9.000.000,Bulgarien,,139.788,13.979,430.553,196,71,"4,8%","340,5%"
wd:Q7411,nl,nederländska,24.000.000,"Nederländerna, Belgien",,364.594,36.459,817.513,373,98,"3,4%","333,0%"
wd:Q9078,lv,lettiska,1.500.000,Lettland,,22.710,2.271,155.206,71,32,"10,3%","331,9%"
wd:Q9063,sl,slovenska,2.400.000,Slovenien,,33.543,3.354,104.664,48,70,"4,4%","306,4%"
wd:Q9058,sk,slovakiska,6.000.000,Slovakien,,74.012,7.401,197.948,90,82,"3,3%","270,4%"
wd:Q652,it,italienska,64.819.790,Italien,,748.030,74.803,351.085,160,467,"0,5%","253,0%"
,fa,farsi,52.939.220,,Iran,496.312,49.631,765.792,349,142,"1,4%","205,5%"
wd:Q9072,et,estniska,1.251.770,Estland,,10.031,1.003,151.118,69,15,"12,1%","175,7%"
,ru,ryska,153.919.510,,Ryssland,1.134.138,113.414,5.684.234,2.593,44,"3,7%","161,5%"
wd:Q1860,en,engelska,753.359.540,USA UK Kanada,"Irland, AUS, NZ, ZA",4.616.877,461.688,17.517.304,7.991,58,"2,3%","134,3%"
,sr,serbiska,9.000.000,,Serbien,55.138,5.514,340.827,155,35,"3,8%","134,3%"
wd:Q7913,ro,rumänska,24.000.000,Rumänien,,135.562,13.556,464.302,212,64,"1,9%","123,8%"
,id,indonesiska,43.600.000,,Indonesien,221.241,22.124,843.887,385,57,"1,9%","111,2%"
,ja,japanska,130.000.000,,Japan,658.185,65.818,1.660.789,758,87,"1,3%","111,0%"
,ca,katalanska,4.079.420,Spanien,,16.457,1.646,58.141,27,62,"1,4%","88,4%"
wd:Q294,is,isländska,358.000,Island,,1.411,141,28.436,13,11,"7,9%","86,4%"
wd:Q1321,es,spanska,437.000.000,Spanien,Sydamerika,1.567.772,156.777,4.428.428,2.020,78,"1,0%","78,6%"
wd:Q150,fr,franska,208.157.220,"Frankrike, Belgien","Schweiz, Afrika",746.296,74.630,2.585.829,1.180,63,"1,2%","78,6%"
,uk,ukrainska,34.710.100,,Ukraina,122.818,12.282,946.261,432,28,"2,7%","77,6%"
wd:Q9296,mk,makedonska,2.000.000,Nordmakedonien,,4.938,494,94.346,43,11,"4,7%","54,1%"
wd:Q8748,sq,albanska,6.200.000,Albanien,Kosovo,14.562,1.456,113.090,52,28,"1,8%","51,5%"
wd:Q256,tr,turkiska,82.231.620,Turkiet,,187.420,18.742,1.467.797,670,28,"1,8%","50,0%"
wd:Q5146,pt,portugisiska,254.300.000,Portugal,Brasilien,562.453,56.245,1.382.488,631,89,"0,5%","48,5%"
,ar,arabiska,315.421.300,,Maghreb,618.866,61.887,1.091.993,498,124,"0,3%","43,0%"
,zh,kinesiska,1.299.877.520,,Kina,821.271,82.127,1.093.949,499,165,"0,1%","13,8%"
,sh,serbokroatiska,24.000.000,Montenegro,Serbien,10.409,1.041,102.056,47,22,"0,4%","9,5%"
wd:Q9051,lb,luxemburgiska,391.200,Luxemburg,,142,14,14.084,6,2,"3,6%","8,0%"
wd:Q9043,nn,nynorska,5.200.000,Norge,,597,60,25.280,12,5,"0,5%","2,5%"
,be,vitryska,5.100.000,,Vitryssland,275,28,24.848,11,2,"0,5%","1,2%"
wd:Q8821,,montenegrinska,232.600,Montenegro,,,,,,,"0,0%","0,0%"
